Epoch,Train Loss,Val Loss,Val Valence RMSE,Val Arousal RMSE,Val Overall RMSE,Val Valence MAE,Val Arousal MAE,Val Valence R2,Val Arousal R2
113,0.4521,0.8799,0.2559,0.1482,0.2091,0.2031,0.1191,-0.2339,-0.3057
114,0.3463,0.8768,0.2595,0.1459,0.2105,0.2064,0.1164,-0.269,-0.2653
115,0.3426,0.9005,0.2547,0.1503,0.2091,0.2038,0.1201,-0.2228,-0.3423
116,0.3781,0.8442,0.2358,0.1344,0.1919,0.1887,0.1092,-0.0477,-0.0739
117,0.327,0.8376,0.2349,0.1266,0.1887,0.1855,0.1021,-0.0395,0.047
118,0.322,0.8549,0.2408,0.1321,0.1942,0.1887,0.1046,-0.0925,-0.0366
119,0.3229,0.8568,0.2545,0.1312,0.2025,0.1975,0.1048,-0.2208,-0.0229
120,0.3109,0.8545,0.2617,0.1321,0.2073,0.2054,0.1066,-0.2907,-0.0378
121,0.3071,0.8343,0.244,0.1406,0.1991,0.1907,0.1113,-0.1221,-0.1753
122,0.3019,0.8369,0.245,0.138,0.1988,0.1943,0.1097,-0.1309,-0.1319
123,0.3068,0.8165,0.2397,0.1321,0.1935,0.1873,0.1049,-0.0829,-0.0373
124,0.2798,0.8273,0.25,0.1258,0.1979,0.1959,0.1005,-0.178,0.0593
125,0.304,0.8164,0.2418,0.1269,0.1931,0.1888,0.1013,-0.1022,0.0423
126,0.2875,0.8424,0.2429,0.1355,0.1967,0.1926,0.108,-0.1114,-0.0923
127,0.3047,0.8316,0.2419,0.1357,0.1961,0.1911,0.1095,-0.1027,-0.0946
128,0.2866,0.8438,0.2442,0.1441,0.2005,0.193,0.1148,-0.1235,-0.2339
129,0.3074,0.8499,0.2555,0.1369,0.205,0.2022,0.1097,-0.2303,-0.1137
130,0.2981,0.8367,0.2463,0.1352,0.1987,0.1921,0.1094,-0.1432,-0.0863
131,0.2736,0.8369,0.2382,0.1313,0.1923,0.1868,0.1058,-0.0693,-0.0246
132,0.2851,0.8177,0.2305,0.1277,0.1863,0.1832,0.1044,-0.0012,0.0308
133,0.2722,0.821,0.2402,0.1314,0.1936,0.1901,0.107,-0.0875,-0.0257
134,0.2682,0.8565,0.2549,0.1441,0.2071,0.2022,0.1174,-0.2245,-0.2349
135,0.2772,0.835,0.2519,0.1377,0.203,0.199,0.1125,-0.1957,-0.1269
136,0.2614,0.8193,0.2405,0.1318,0.1939,0.1887,0.1069,-0.09,-0.0323
137,0.2655,0.8119,0.2356,0.1276,0.1895,0.1845,0.1042,-0.0462,0.0324
138,0.26,0.8264,0.2459,0.13,0.1967,0.1931,0.1052,-0.1397,-0.0048
139,0.2599,0.8339,0.2608,0.1297,0.2059,0.2008,0.1061,-0.2813,-0.0005
140,0.2637,0.826,0.2507,0.1337,0.2009,0.197,0.1093,-0.1843,-0.0626
141,0.2462,0.8331,0.2479,0.1335,0.1991,0.1963,0.1088,-0.1584,-0.0596
142,0.2607,0.827,0.2476,0.13,0.1977,0.1938,0.1067,-0.155,-0.0053
143,0.2499,0.8275,0.2497,0.1294,0.1989,0.1945,0.1054,-0.1752,0.005
144,0.2467,0.8379,0.25,0.1331,0.2003,0.1961,0.1081,-0.178,-0.0528
145,0.2464,0.8343,0.2496,0.1321,0.1997,0.1932,0.1082,-0.174,-0.0367
